date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:34:58	899/899	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2290ba2bf0cfee1dd5b55ae4a6a480803c%22	https://libanky.cilf.cz/2018/09/14/budapest-den-2/feed/	libanky.cilf.cz/2018/09/14/budapest-den-2/feed/index.html	(from https://libanky.cilf.cz/2018/09/14/budapest-den-2/)
10:34:59	1260/1260	---M--	200	added ('OK')	application/font-woff	etag:%2254cc7512-4ec%22	https://s2.wp.com/wp-content/themes/pub/edin/font/edincon.woff?-yw7mjc	s2.wp.com/wp-content/themes/pub/edin/font/edincon0d3d.woff	(from https://s2.wp.com/_static/??-eJyFj0EOwjAMBD9EcAuqOCHe0qZuMEriqHYV8XsCvQQQ5bZrz8pryMlYjopRQa8YUCAtA+BIEaYyf6kC7K3IDio4LCb5xVEUcBhxprL4Ib+yn4dE7x7/UqXHSpqcLIetRplGhyogbKn3Zi1Um+132Hi2vRLHN2Mm39O8FZ1x8OyKdFCoyj5Dl3Buu/Z4apquOdweXheM9w==?cssminify=yes)
10:35:00	21843/21843	---MCZ	200	added ('OK')	text/html	etag:W/%22442a4a0de5b5c989483c7519fe096f16%22	https://libanky.cilf.cz/2018/09/14/budapest-den-2/amp/	libanky.cilf.cz/2018/09/14/budapest-den-2/amp/index.html	(from https://libanky.cilf.cz/2018/09/14/budapest-den-2/)
10:35:00	0/0	---MC-	302	error ('Found')	text/html	date:Tue,%2002%20Oct%202018%2008:35:00%20GMT	https://libanky.cilf.cz/2018/09/14/budapest-den-2/?share=twitter	libanky.cilf.cz/2018/09/14/budapest-den-2/index9a7b.html	(from https://libanky.cilf.cz/2018/09/14/budapest-den-2/)
10:35:00	0/0	---MC-	302	error ('Found')	text/html	date:Tue,%2002%20Oct%202018%2008:35:00%20GMT	https://libanky.cilf.cz/2018/09/14/budapest-den-2/?share=facebook	libanky.cilf.cz/2018/09/14/budapest-den-2/index5a58.html	(from https://libanky.cilf.cz/2018/09/14/budapest-den-2/)
10:35:00	0/0	---MC-	302	error ('Found')	text/html	date:Tue,%2002%20Oct%202018%2008:35:00%20GMT	https://libanky.cilf.cz/2018/09/14/budapest-den-2/?share=google-plus-1	libanky.cilf.cz/2018/09/14/budapest-den-2/index386f.html	(from https://libanky.cilf.cz/2018/09/14/budapest-den-2/)
10:35:01	16027/16027	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2002%20Oct%202018%2008:35:01%20GMT	https://libanky.cilf.cz/2018/09/13/prvni-den-v-budapesti/wordpress_test_cookie=test;%20path=/	libanky.cilf.cz/2018/09/13/prvni-den-v-budapesti/wordpress_test_cookie=test;%20path=/index.html	(from https://libanky.cilf.cz/2018/09/13/prvni-den-v-budapesti/)
10:35:02	1292/1292	---MCZ	200	added ('OK')	application/font-ttf	etag:W/%2254cc7512-50c%22	https://s2.wp.com/wp-content/themes/pub/edin/font/edincon.ttf?-yw7mjc	s2.wp.com/wp-content/themes/pub/edin/font/edincon0d3d.ttf	(from https://s2.wp.com/_static/??-eJyFj0EOwjAMBD9EcAuqOCHe0qZuMEriqHYV8XsCvQQQ5bZrz8pryMlYjopRQa8YUCAtA+BIEaYyf6kC7K3IDio4LCb5xVEUcBhxprL4Ib+yn4dE7x7/UqXHSpqcLIetRplGhyogbKn3Zi1Um+132Hi2vRLHN2Mm39O8FZ1x8OyKdFCoyj5Dl3Buu/Z4apquOdweXheM9w==?cssminify=yes)
10:35:02	29918/29918	---MCZ	200	added ('OK')	text/html	etag:W/%22a2374ebeb42886ef8cc837f1ba73c095%22	https://libanky.cilf.cz/2018/09/13/prvni-den-v-budapesti/amp/	libanky.cilf.cz/2018/09/13/prvni-den-v-budapesti/amp/index.html	(from https://libanky.cilf.cz/2018/09/13/prvni-den-v-budapesti/)
10:35:02	920/920	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22b73f526b047b79534b4a06c1de3f8326%22	https://libanky.cilf.cz/2018/09/13/prvni-den-v-budapesti/feed/	libanky.cilf.cz/2018/09/13/prvni-den-v-budapesti/feed/index.html	(from https://libanky.cilf.cz/2018/09/13/prvni-den-v-budapesti/)
